file,Feature,model,class,acc_sd,f1-macro_sd,auc_sd,time-s_sd
kaggle_noSW,combo,rf,JP,0.7911310557807374,0.7666374238270168,0.8731152576554788,3.763941192626953
kaggle_noSW,combo,svc,JP,0.7656572358403568,0.7580517795944922,0.8382395575392204,1332.6359409332276
kaggle_noSW,word_tf,cnb,JP,0.7095088357031033,0.7021995810605404,0.7781397158997583,0.04168801307678223
kaggle_noSW,word_tf,lgb,JP,0.8051405107336637,0.7960323186724085,0.8772789898970812,18.824416589736938
kaggle_noSW,word_tf,lgr,JP,0.7350917615646915,0.7264528828935177,0.8103469431114873,2.793241548538208
kaggle_noSW,word_tf,rf,JP,0.7719110558879667,0.7373595576619779,0.8596520108947379,1.1770697593688966
kaggle_noSW,word_tf,svc,JP,0.7647313769328099,0.7569789277792593,0.8383068783185944,342.0006911277771
kaggle_noSW,word_tfidf,cnb,JP,0.7108976576,0.7042446934000001,0.7820080436,0.0411929132
kaggle_noSW,word_tfidf,lgb,JP,0.8037503486,0.7935077954,0.8776346798000001,129.21107899999998
kaggle_noSW,word_tfidf,lgr,JP,0.7350918286,0.7262652350000001,0.8084422408,2.9008219718
kaggle_noSW,word_tfidf,rf,JP,0.7745735622,0.7410121304,0.8588955753999998,2.4528378963999997
kaggle_noSW,word_tfidf,svc,JP,0.7629934564,0.7555723296,0.8387714901999999,317.70460224
