,file,cv_split#,class,Feature,model,CM,Acc,f1-macro,auc,time-s
54,kaggle_noNNnoSW,1,JP,word_tf,lgb,"[[827 217]
 [242 442]]",0.734375,0.7205005780970126,0.7965595662207882,14.903636932373047
55,kaggle_noNNnoSW,2,JP,word_tf,cnb,"[[679 365]
 [227 457]]",0.6574074074074074,0.6516579834508122,0.7186862830767853,0.03889679908752442
56,kaggle_noNNnoSW,2,JP,word_tf,rf,"[[968  76]
 [448 236]]",0.6967592592592593,0.6304437261240082,0.7703712105935336,1.1515440940856934
57,kaggle_noNNnoSW,2,JP,word_tf,lgr,"[[745 299]
 [237 447]]",0.6898148148148148,0.6803070572073533,0.7413330980708476,2.294004201889038
58,kaggle_noNNnoSW,2,JP,word_tf,svc,"[[737 307]
 [214 470]]",0.6984953703703703,0.691121026385265,0.7706617877708318,358.90250849723816
59,kaggle_noNNnoSW,2,JP,word_tf,lgb,"[[796 248]
 [212 472]]",0.7337962962962963,0.7240965662018293,0.8090956958168091,14.209208488464355
60,kaggle_noNNnoSW,3,JP,word_tf,cnb,"[[725 319]
 [266 417]]",0.6612623045744065,0.6501342780412548,0.7170907591592198,0.0388944149017334
61,kaggle_noNNnoSW,3,JP,word_tf,rf,"[[992  52]
 [476 207]]",0.6942675159235668,0.6146496815286624,0.7613519070137942,1.201009750366211
62,kaggle_noNNnoSW,3,JP,word_tf,lgr,"[[728 316]
 [256 427]]",0.6687898089171974,0.6584133491566871,0.7111879638511638,2.2739243507385254
63,kaggle_noNNnoSW,3,JP,word_tf,svc,"[[761 283]
 [255 428]]",0.6884771279675739,0.6764476048529761,0.7523266185355346,357.9411072731018
64,kaggle_noNNnoSW,3,JP,word_tf,lgb,"[[810 234]
 [222 461]]",0.7359583092067169,0.7247162260795155,0.7920951066682373,8.008194208145143
65,kaggle_noNNnoSW,4,JP,word_tf,cnb,"[[715 329]
 [229 454]]",0.6768963520555877,0.6693441686956665,0.7299818246074621,0.037899017333984375
66,kaggle_noNNnoSW,4,JP,word_tf,rf,"[[976  68]
 [478 205]]",0.6838448176027794,0.6051477164995595,0.7524956104183145,1.0724263191223145
67,kaggle_noNNnoSW,4,JP,word_tf,lgr,"[[709 335]
 [237 446]]",0.6687898089171974,0.6609262157783453,0.7284153189388711,2.262300968170166
68,kaggle_noNNnoSW,4,JP,word_tf,svc,"[[755 289]
 [229 454]]",0.7000579038795599,0.6906610399705664,0.7599095157155439,357.37763047218317
69,kaggle_noNNnoSW,4,JP,word_tf,lgb,"[[813 231]
 [222 461]]",0.7376954255935148,0.7263261183261183,0.7972307769980308,14.613065958023071
70,kaggle_noNNnoSW,5,JP,word_tf,cnb,"[[723 321]
 [226 457]]",0.6832657788071801,0.6755691463585932,0.7363544313738689,0.04089069366455078
71,kaggle_noNNnoSW,5,JP,word_tf,rf,"[[978  66]
 [462 221]]",0.6942675159235668,0.6215548583096768,0.7681185944363104,1.200788497924805
72,kaggle_noNNnoSW,5,JP,word_tf,lgr,"[[673 371]
 [248 435]]",0.6415749855240301,0.6346360161113646,0.7094096924207491,2.3051917552948
73,kaggle_noNNnoSW,5,JP,word_tf,svc,"[[753 291]
 [229 454]]",0.6988998262883613,0.6895954828130659,0.7582974313233818,363.34297227859497
74,kaggle_noNNnoSW,5,JP,word_tf,lgb,"[[821 223]
 [243 440]]",0.7301679212507238,0.7163631929309133,0.7931875936116861,21.368568897247318
25,kaggle_noNN,1,JP,LIWC,cnb,"[[587 457]
 [293 391]]",0.5659722220000001,0.560315487,0.596433813,0.015956879
26,kaggle_noNN,1,JP,LIWC,rf,"[[971  73]
 [606  78]]",0.607060185,0.46388246,0.595436748,0.9966027740000001
27,kaggle_noNN,1,JP,LIWC,lgr,"[[610 434]
 [287 397]]",0.58275463,0.576317199,0.6031626,0.133622885
28,kaggle_noNN,1,JP,LIWC,svc,"[[592 452]
 [277 407]]",0.578125,0.573233452,0.608663261,24.03331041
29,kaggle_noNN,1,JP,LIWC,lgb,"[[651 393]
 [338 346]]",0.576967593,0.5633647070000001,0.586699827,4.2322514060000005
30,kaggle_noNN,2,JP,LIWC,cnb,"[[586 458]
 [297 387]]",0.5630787039999999,0.557206242,0.587436423,0.016953945
31,kaggle_noNN,2,JP,LIWC,rf,"[[967  77]
 [601  83]]",0.607638889,0.46855562700000003,0.592505069,0.9232420920000001
32,kaggle_noNN,2,JP,LIWC,lgr,"[[596 448]
 [275 409]]",0.5815972220000001,0.576639224,0.60771941,0.126642704
33,kaggle_noNN,2,JP,LIWC,svc,"[[576 468]
 [281 403]]",0.566550926,0.562162409,0.598514766,23.68935704
34,kaggle_noNN,2,JP,LIWC,lgb,"[[600 444]
 [307 377]]",0.565393519,0.558032937,0.591305651,2.05600667
35,kaggle_noNN,3,JP,LIWC,cnb,"[[599 445]
 [318 365]]",0.558193399,0.549930613,0.577517488,0.015956163
36,kaggle_noNN,3,JP,LIWC,rf,"[[977  67]
 [603  80]]",0.6120440070000001,0.46871785899999996,0.561493411,0.924565792
37,kaggle_noNN,3,JP,LIWC,lgr,"[[610 434]
 [311 372]]",0.568616097,0.5602646720000001,0.595887817,0.147859573
38,kaggle_noNN,3,JP,LIWC,svc,"[[606 438]
 [294 389]]",0.576143602,0.569344289,0.59873193,23.53476548
39,kaggle_noNN,3,JP,LIWC,lgb,"[[611 433]
 [337 346]]",0.554140127,0.543389014,0.58019331,2.3616602419999997
